2022.10.30 14:07:57,485	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2022.10.30 14:07:57,722	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2022.10.30 14:07:59,835	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2022.10.30 14:08:00,135	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2022.10.30 14:08:00,158	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2022.10.30 14:08:00,229	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2022.10.30 14:08:00,240	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2022.10.30 14:08:00,244	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 192.168.1.66:9014
2022.10.30 14:08:01,225	INFO	1	org.l2jmobius.commons.network.NetworkManager	ClientNetworkManager: Listening on 192.168.1.66:2106
2022.10.30 14:12:16,519	INFO	33	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2022.10.30 14:12:16,521	INFO	33	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.30 14:12:16,525	INFO	33	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2022.10.30 14:12:16,525	INFO	33	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2022.10.30 14:12:16,525	INFO	33	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2022.10.30 14:12:16,526	INFO	33	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2022.10.30 14:12:16,526	INFO	33	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2022.10.30 14:12:16,526	INFO	33	org.l2jmobius.loginserver.GameServerThread	128.0.131.163/0.0.0.0/0
2022.10.30 16:18:40,345	INFO	33	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2022.10.30 16:18:40,347	INFO	33	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2022.10.30 16:20:03,559	INFO	79	org.l2jmobius.loginserver.LoginController	Auto created account '123'.
2022.10.30 16:21:22,757	INFO	83	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2022.10.30 16:21:22,758	INFO	83	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.30 16:21:22,758	INFO	83	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2022.10.30 16:21:22,758	INFO	83	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2022.10.30 16:21:22,758	INFO	83	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2022.10.30 16:21:22,758	INFO	83	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2022.10.30 16:21:22,759	INFO	83	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2022.10.30 16:21:22,759	INFO	83	org.l2jmobius.loginserver.GameServerThread	128.0.131.163/0.0.0.0/0
2022.10.30 18:29:46,356	INFO	136	org.l2jmobius.loginserver.GameServerThread	GameServer (167.248.133.46): Connection lost: Connection reset
2022.10.30 19:14:50,087	INFO	83	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2022.10.30 19:14:50,088	INFO	83	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2022.10.30 19:19:33,133	INFO	158	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2022.10.30 19:19:33,134	INFO	158	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.10.30 19:19:33,135	INFO	158	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2022.10.30 19:19:33,135	INFO	158	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2022.10.30 19:19:33,135	INFO	158	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2022.10.30 19:19:33,135	INFO	158	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2022.10.30 19:19:33,135	INFO	158	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2022.10.30 19:19:33,135	INFO	158	org.l2jmobius.loginserver.GameServerThread	128.0.131.163/0.0.0.0/0
2022.10.30 20:22:36,374	INFO	158	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2022.10.30 20:22:36,377	INFO	158	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2022.10.30 20:24:32,738	INFO	184	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
